nu0,    omega0,         delta0,     nu,     omega,          delta,  deltaomega,    deltadelta,      c,              scarti
-11,	-69.11503838,	9.32,	    -1390,	-8733.627577,	8.93,	-8664.512539,	-0.39,	        2.92508E+08,	1.42268E+14
-10,	-62.83185307,	9.31,	    -1317,	-8274.95505	,   8.93,	-8212.123196,	-0.38,	        2.84532E+08,	3.96181E+14
-10,	-62.83185307,	9.31,	    -1355,	-8513.716091,	8.94,	-8450.884238,	-0.37,	        3.00718E+08,	1.38246E+13
-11,	-69.11503838,	9.30,	    -1404,	-8821.592171,	8.93,	-8752.477133,	-0.37,	        3.11450E+08,	4.91933E+13
-15,	-94.24777961,	9.31,	    -1359,	-8538.848832,	8.94,	-8444.601053,	-0.37,	        3.00494E+08,	1.55372E+13
-15,	-94.24777961,	9.31,	    -1409,	-8853.008098,	8.92,	-8758.760318,	-0.39,	        2.95690E+08,	7.64902E+13
-17,	-106.8141502,	9.30,	    -1374,	-8633.096612,	8.95,	-8526.282462,	-0.35,	        3.20738E+08,	2.65756E+14
-16,	-100.5309649,	9.30,	    -1386,	-8708.494836,	8.94,	-8607.963871,	-0.36,	        3.14816E+08,	1.07743E+14
-18,	-113.0973355,	9.31,	    -1386,	-8708.494836,	8.92,	-8595.397000,   -0.39,	        2.90175E+08,	2.03373E+14
-18,	-113.0973355,	9.31,	    -1409,	-8853.008098,	8.92,	-8739.910762,	-0.39,	        2.95054E+08,	8.80259E+13
-18,	-113.0973355,	9.31,	    -1363,	-8563.981574,	8.94,	-8450.884238,	-0.37,	        3.00718E+08,	1.38246E+13
-18,	-113.0973355,	9.30,	    -1143,	-7181.680806,	8.96,	-7068.583471,	-0.34,	        2.73723E+08,	9.4325E+14
-18,	-113.0973355,	9.31,	    -1441,	-9054.070028,	8.97,	-8940.972692,	-0.34,	        3.46230E+08,	1.74673E+15
-18,	-113.0973355,	9.31,	    -1450,	-9110.618695,	8.92,	-8997.521360,   -0.39,	        3.03750E+08,	4.69841E+11
-18,	-113.0973355,	9.33,	    -1414,	-8884.424024,	8.94,	-8771.326689,	-0.39,	        2.96114E+08,	6.92496E+13
-18,	-113.0973355,	9.32,	    -1401,	-8802.742615,	8.95,	-8689.645280,   -0.37,	        3.09214E+08,	2.28291E+13
-18,	-113.0973355,	9.31,	    -1410,	-8859.291283,	8.93,	-8746.193948,	-0.38,	        3.03036E+08,	1.95985E+12
-18,	-113.0973355,	9.31,	    -1431,	-8991.238175,	8.93,	-8878.140839,	-0.38,	        3.07608E+08,	1.00598E+13
-18,	-113.0973355,	9.31,	    -1444,	-9072.919584,	8.93,	-8959.822248,	-0.38,	        3.10438E+08,	3.60215E+13
-18,	-113.0973355,	9.30,	    -1424,	-8947.255877,	8.94,	-8834.158542,	-0.36,	        3.23088E+08,	3.47915E+14
-18,	-113.0973355,	9.30,	    -1395,	-8765.043504,	8.92,	-8651.946168,	-0.38,	        2.99770E+08,	2.17661E+13
-13,	-81.68140899,	9.30,	    -1455,	-9142.034622,	8.92,	-9060.353213,	-0.38,	        3.13921E+08,	8.99645E+13
-17,	-106.8141502,	9.31,	    -1456,	-9148.317807,	8.94,	-9041.503657,	-0.37,	        3.21734E+08,	2.9924E+14
-18,	-113.0973355,	9.30,	    -1469,	-9229.999216,	8.91,	-9116.901881,	-0.39,	        3.07781E+08,	1.11874E+13
-18,	-113.0973355,	9.30,	    -1426,	-8959.822248,	8.92,	-8846.724913,	-0.38,	        3.06519E+08,	4.33983E+12
-18,	-113.0973355,	9.31,	    -1446,	-9085.485954,	8.92,	-8972.388619,	-0.39,	        3.02902E+08,	2.35289E+12
-18,	-113.0973355,	9.31,	    -1418,	-8909.556766,	8.92,	-8796.459430,   -0.39,	        2.96963E+08,	5.58482E+13
-18,	-113.0973355,	9.30,	    -1446,	-9085.485954,	8.90,   -8972.388619,	-0.40,	        2.95329E+08,	8.29277E+13
-18,	-113.0973355,	9.31,	    -1455,	-9142.034622,	8.91,	-9028.937286,	-0.40,	        2.97191E+08,	5.24921E+13
-18,	-113.0973355,	9.31,	    -1446,	-9085.485954,	8.93,	-8972.388619,	-0.38,	        3.10873E+08,	4.14374E+13
