nuzero,omegazero,deltazero,nu,omega,delta,deltaomega,deltadelta,c,scarti
-1395,-8765.043504,8.93,1387,8714.778021,9.69,17479.82152,0.76,3.02818E+08,2.61677E+12
-1400,-8796.459430,8.92,1406,8834.158542,9.69,17630.61797,0.77,3.01464E+08,8.83217E+12
-1300,-8168.140899,8.93,1407,8840.441727,9.70,17008.58263,0.77,2.90828E+08,1.85178E+14
-1413,-8878.140839,8.91,1391,8739.910762,9.70,17618.05160,0.79,2.93623E+08,1.16928E+14
-1360,-8545.132018,8.92,1382,8683.362095,9.69,17228.49411,0.77,2.94588E+08,9.69785E+13
-1346,-8457.167423,8.92,1402,8809.025801,9.70,17266.19322,0.78,2.91448E+08,1.68693E+14
-1358,-8532.565647,8.91,1394,8758.760318,9.69,17291.32597,0.78,2.91872E+08,1.57853E+14
-1393,-8752.477133,8.91,1419,8915.839951,9.70,17668.31708,0.79,2.94460E+08,9.95126E+13
-1390,-8733.627577,8.92,1369,8601.680686,9.69,17335.30826,0.77,2.96414E+08,6.43423E+13
-1416,-8896.990395,8.91,1419,8915.839951,9.70,17812.83035,0.79,2.96869E+08,5.72617E+13
-1394,-8758.760318,8.93,1424,8947.255877,9.69,17706.01620,0.76,3.06737E+08,5.29425E+12
-1366,-8582.831130,8.91,1419,8915.839951,9.69,17498.67108,0.78,2.95372E+08,8.21568E+13
-1417,-8903.273580,8.91,1404,8821.592171,9.70,17724.86575,0.79,2.95403E+08,8.15980E+13
-1322,-8306.370976,8.92,1312,8243.539123,9.66,16549.91010,0.74,2.94457E+08,9.95691E+13
-1378,-8658.229353,8.93,1409,8853.008098,9.69,17511.23745,0.76,3.03362E+08,1.15219E+12
-1300,-8168.140899,8.92,1394,8758.760318,9.68,16926.90122,0.76,2.93239E+08,1.25359E+14
-1378,-8658.229353,8.92,1315,8262.388679,9.66,16920.61803,0.74,3.01053E+08,1.14431E+13
-1372,-8620.530241,8.92,1369,8601.680686,9.66,17222.21093,0.74,3.06419E+08,3.93309E+12
-1385,-8702.211650,8.93,1384,8695.928465,9.70,17398.14012,0.77,2.97489E+08,4.82609E+13
-1362,-8557.698388,8.93,1329,8350.353273,9.63,16908.05166,0.70,3.18020E+08,1.84523E+14
-1309,-8224.689567,8.93,1349,8476.016979,9.69,16700.70655,0.76,2.89321E+08,2.28461E+14
-1365,-8576.547944,8.92,1383,8689.645280,9.69,17266.19322,0.77,2.95233E+08,8.46981E+13
-1389,-8727.344392,8.92,1317,8274.955050,9.65,17002.29944,0.73,3.06650E+08,4.90375E+12
-1342,-8432.034682,8.92,1314,8256.105494,9.66,16688.14018,0.74,2.96917E+08,5.65358E+13
-1398,-8783.893059,8.92,1331,8362.919644,9.66,17146.81270,0.74,3.05078E+08,4.11792E+11
-1364,-8570.264759,8.92,1381,8677.078909,9.69,17247.34367,0.77,2.94910E+08,9.07344E+13
-1374,-8633.096612,8.92,1385,8702.211650,9.70,17335.30826,0.78,2.92614E+08,1.39749E+14
-1372,-8620.530241,8.93,1375,8639.379797,9.67,17259.91004,0.74,3.07090E+08,7.04344E+12
-1375,-8639.379797,8.91,1310,8230.972752,9.67,16870.35255,0.76,2.92260E+08,1.48255E+14
-1347,-8463.450609,8.93,1325,8325.220532,9.68,16788.67114,0.75,2.94723E+08,9.43446E+13
