q, err
3.622E-19, 2.652E-20
3.907E-19, 3.075E-20
3.907E-19, 3.075E-20
4.240E-19, 3.608E-20
5.856E-19, 6.609E-20
4.807E-19, 4.455E-20
1.600E-19, 3.948E-21
1.600E-19, 3.948E-21
1.600E-19, 3.948E-21
1.562E-19, 3.809E-21
1.749E-19, 3.328E-21
1.737E-19, 3.298E-21
1.701E-19, 3.215E-21
6.029E-19, 4.799E-20
6.549E-19, 5.631E-20
4.969E-19, 3.058E-20
5.267E-19, 3.434E-20
5.267E-19, 3.434E-20
4.089E-19, 3.229E-20
3.789E-19, 2.785E-20
4.089E-19, 3.229E-20
4.089E-19, 3.229E-20
4.312E-19, 3.406E-20
4.012E-19, 2.949E-20
2.949E-19, 1.534E-20
3.110E-19, 1.700E-20
2.803E-19, 1.392E-20
2.670E-19, 1.268E-20
3.030E-19, 1.505E-20
3.176E-19, 1.652E-20
2.777E-19, 1.264E-20
3.030E-19, 1.505E-20
2.887E-19, 1.318E-20
2.645E-19, 1.116E-20
2.761E-19, 1.211E-20
2.761E-19, 1.211E-20
3.298E-19, 1.571E-20
3.035E-19, 1.331E-20
3.161E-19, 1.443E-20
2.919E-19, 1.232E-20
3.035E-19, 1.331E-20
4.615E-19, 3.924E-20
5.556E-19, 5.650E-20
5.042E-19, 4.670E-20
5.556E-19, 5.650E-20
4.436E-19, 3.488E-20
4.125E-19, 3.018E-20
4.798E-19, 4.080E-20
6.676E-19, 3.988E-20
6.676E-19, 3.988E-20
7.109E-19, 3.613E-20
7.703E-19, 4.225E-20
6.610E-19, 3.138E-20
7.392E-19, 3.899E-20
7.720E-19, 5.869E-20
8.351E-19, 6.805E-20
7.720E-19, 5.869E-20
7.720E-19, 5.869E-20
7.720E-19, 5.869E-20
7.661E-19, 5.144E-20
7.661E-19, 5.144E-20
8.140E-19, 5.802E-20
7.661E-19, 5.144E-20
