x,y,s_y
694.6,3.30099e-09,3.12469e-11
606.8,2.64110e-09,2.51185e-11
694.4,3.15164e-09,2.98605e-11
605.8,2.55547e-09,2.43226e-11
696.6,3.19278e-09,3.02424e-11
604.0,2.82048e-09,2.67851e-11
688.8,3.13935e-09,2.97464e-11
598.2,2.67122e-09,2.53983e-11
681.6,3.05803e-09,2.89914e-11
674.4,3.20518e-09,3.03575e-11
603.8,2.86331e-09,2.71830e-11
717.4,3.42810e-09,3.24265e-11
615.6,2.73578e-09,2.59982e-11
672.0,3.13526e-09,2.97084e-11
609.6,2.86722e-09,2.72193e-11
672.8,3.08637e-09,2.92545e-11
586.6,2.58881e-09,2.46325e-11
655.4,3.08232e-09,2.92169e-11
602.2,2.78182e-09,2.64260e-11
667.4,3.04996e-09,2.89164e-11
